Q6,Q7,Q1,Q1_9_TEXT,Q2,Q3_1,Q4,Q4_8_TEXT,Q5,Q10_1
What is your social year?,What is your concentration? Select all that apply.,What are your current plans for Summer 2021? - Selected Choice,What are your current plans for Summer 2021? - Other - Text,"If you have summer plans, how will they be conducted?","How satisfied are you with your current summer plans, from not satisfied (1) to very satisfied (5)? - Satisfaction",What did you do during Summer 2020? - Selected Choice,What did you do during Summer 2020? - Other - Text,Did your Summer 2020 plans change due to the pandemic?,"How satisfied were you with your plans during Summer 2021, from not satisfied (1) to very satisfied (5)? - Satisfaction"
2023,Integrative Biology,Research,,In-Person,4,Part-Time Internship,,Yes,2
2024,Undecided,Research,,Remote,4,No Plans,,Yes,2
2023,Social Studies,Full-Time Internship,,Remote,3,Full-Time Internship,,Yes,4
2024,Government,Other,Summer School,In-Person,4,No Plans,,Yes,4
2022,History of Art and Architecture,Searching/Undecided,,,1,Part-Time Job,,Yes,1
2021,Sociology,Other,Part-time Internship and part-time job,Remote,4,Other,Part-time job and study for LSAT,Yes,4
2023,Psychology,Full-Time Internship,,Hybrid,4,Full-Time Internship,,Yes,4
2024,Psychology,Full-Time Job,,In-Person,5,Full-Time Job,,Yes,2
2023,Classics,Searching/Undecided,,Remote,2,No Plans,,Yes,4
2022,Integrative Biology,Searching/Undecided,,,1,Part-Time Internship,,Yes,4
2023,Integrative Biology,Research,,In-Person,5,Research,,No,3
2021,Sociology,Other,Travel,In-Person,3,Part-Time Internship,,Yes,3
2023,History,Full-Time Internship,,Remote,5,Full-Time Internship,,No,5
2024,Computer Science,Full-Time Internship,,Remote,4,Other,"short program, otherwise no plans",Yes,3
2024,Physics,Research,,Remote,3,No Plans,,Yes,2
2022,Physics,Other,Summer class/teaching program,Remote,5,Part-Time Job,,Yes,4
2022,Molecular and Cellular Biology,Research,,Remote,3,Part-Time Internship,,No,5
2023,Government,Other,Harvard Summer School Classes,Remote,4,No Plans,,Yes,2
2022,Psychology,Other,classes,Remote,2,Part-Time Internship,,No,3
2022,Computer Science,Full-Time Internship,,Remote,4,Full-Time Internship,,Yes,4
2022,"Computer Science,Philosophy",Full-Time Internship,,Remote,5,Full-Time Internship,,No,4
2024,Biomedical Engineering,Research,,In-Person,5,Part-Time Job,,Yes,3
2023,Environmental Science and Public Policy,Full-Time Job,,In-Person,4,Full-Time Internship,,Yes,3
2023,Computer Science,Full-Time Internship,,Remote,5,Full-Time Internship,,No,4
2022,Music,Research,,Remote,3,Other,,Yes,3
2024,"English,Music",Other,Part-time job and part-time internship,In-Person,5,Part-Time Job,,Yes,5
2023,Applied Math,Full-Time Internship,,Hybrid,5,Full-Time Internship,,Yes,5
2024,Special Concentration,Full-Time Job,,Remote,4,Other,Summer School,Yes,4
2023,Economics,Full-Time Internship,,In-Person,3,Research,,Yes,3
2022,Integrative Biology,Searching/Undecided,,,3,Research,,Yes,2
2023,Social Studies,Full-Time Internship,,Remote,4,Research,,Yes,4
2023,Computer Science,Research,,Remote,3,Research,,No,2
2023,"Computer Science,Statistics",Full-Time Internship,,Remote,5,Research,,Yes,3
Other,Chemistry,Research,,Remote,4,Research,,No,4
2021,History and Literature,No Plans,,,5,Research,,Yes,3
2024,Undecided,Full-Time Job,,In-Person,3,No Plans,,No,3
2023,"Computer Science,Physics",Research,,In-Person,4,Research,,No,4
2024,Mathematics,Research,,Remote,4,Full-Time Job,,No,4
2022,"History and Science,Neuroscience",Full-Time Internship,,Hybrid,4,Research,,No,4
2024,Neuroscience,Research,,Hybrid,4,Part-Time Job,,Yes,3
2023,Psychology,Full-Time Internship,,Remote,4,Full-Time Internship,,Yes,2
2024,Integrative Biology,Other,Summer School,Remote,4,No Plans,,Yes,2
2023,Government,Part-Time Job,,Remote,4,No Plans,,Yes,1
2024,Computer Science,Full-Time Internship,,Remote,4,No Plans,,Yes,1
2022,Statistics,Full-Time Internship,,Remote,3,Research,,Yes,4
2023,Mathematics,Full-Time Internship,,Remote,3,Research,,No,2
2021,History and Literature,Searching/Undecided,,,1,Full-Time Internship,,Yes,3
2021,Government,Other,Freelance Job,In-Person,5,No Plans,,Yes,1
2024,Computer Science,Full-Time Internship,,Hybrid,5,Other,Hackathon and online classes,No,5
2024,Computer Science,Research,,In-Person,4,Full-Time Internship,,No,4
2024,Social Studies,Full-Time Internship,,Remote,4,No Plans,,Yes,3
2023,"Economics,Neuroscience",Research,,Remote,3,Other,Class,Yes,4
2021,Psychology,Research,,Remote,4,Research,,No,4
2024,Human Developmental and Regenerative Biology,Searching/Undecided,,,1,No Plans,,Yes,3
2022,Applied Math,Full-Time Internship,,Remote,4,Full-Time Internship,,Yes,3
2022,"Government,Statistics",Full-Time Internship,,Remote,3,Full-Time Internship,,Yes,3
2023,Psychology,Research,,In-Person,4,Full-Time Internship,,No,4
2024,Undecided,Full-Time Internship,,Remote,5,Full-Time Job,,Yes,5
2022,"History,Philosophy",Full-Time Internship,,Remote,5,Full-Time Internship,,Yes,5
2024,Statistics,Full-Time Internship,,In-Person,5,Part-Time Internship,,Yes,5
2024,Mathematics,Research,,Remote,5,Full-Time Job,,No,5
2024,"Economics,Government",Searching/Undecided,,Hybrid,4,Part-Time Internship,,Yes,4
2022,Computer Science,Full-Time Internship,,Remote,4,Full-Time Internship,,No,4
2024,Computer Science,Other,Harvard summer school,Remote,4,Full-Time Job,,No,1
2022,Chemistry,Research,,In-Person,5,Other,Summer class,Yes,3
2024,Chemistry,Research,,In-Person,5,No Plans,,No,5
2024,"Economics,Government,Psychology,Undecided",Full-Time Job,,In-Person,4,Full-Time Job,,No,4
2023,Statistics,Full-Time Internship,,Remote,4,Research,,Yes,3
2022,English,Full-Time Internship,,Hybrid,3,Other,Had a part-time internship on the side as well since I was working at a day camp. ,Yes,4
2022,Psychology,Research,,Hybrid,4,Full-Time Internship,,Yes,3
2024,Molecular and Cellular Biology,Research,,In-Person,4,No Plans,,Yes,1
2024,Undecided,Other,summer school,Remote,3,No Plans,,No,3
2023,Philosophy,Other,Summer School,In-Person,5,Full-Time Internship,,Yes,5
2023,Government,Full-Time Job,,Remote,5,Research,,Yes,1
2024,Neuroscience,Research,,In-Person,5,Part-Time Job,,No,5
2023,Applied Math,Full-Time Internship,,Hybrid,4,Other,Research + part-time internship,Yes,3
2021,"Art, Film, and Visual Studies",Full-Time Internship,,Remote,4,No Plans,,No,1
2024,Economics,Full-Time Internship,,Remote,3,Full-Time Job,,Yes,3
2022,Applied Math,Research,,Remote,3,Research,,Yes,5
2022,Government,Full-Time Internship,,Remote,5,Research,,Yes,5
2023,Applied Math,Full-Time Internship,,Remote,4,Full-Time Internship,,Yes,2
2024,Applied Math,Other,"summer classes, training",Hybrid,5,Part-Time Job,,No,4
Other,Chemical and Physical Biology,Research,,In-Person,3,Other,Summer class,Yes,4
2023,"Astrophysics,Earth and Planetary Science",Full-Time Job,,In-Person,5,Research,,Yes,4
2023,Psychology,Full-Time Internship,,In-Person,5,Part-Time Internship,,Yes,3
2022,Comparative Literature,Volunteering,,Hybrid,5,Full-Time Job,,Yes,5
2023,Computer Science,Full-Time Internship,,Remote,4,Full-Time Internship,,No,3
2024,Environmental Science and Public Policy,Searching/Undecided,,Remote,2,Full-Time Internship,,No,4
2022,"Music,Neuroscience",Research,,In-Person,5,Research,,Yes,1
2022,Applied Math,Full-Time Internship,,Remote,2,Full-Time Job,,Yes,2
2023,Astrophysics,Research,,Remote,5,No Plans,,Yes,2
2024,Undecided,Full-Time Internship,,Remote,3,Part-Time Job,,No,4
2021,"Computer Science,Physics",Research,,In-Person,5,Research,,Yes,3
2023,Applied Math,Full-Time Internship,,,5,Full-Time Internship,,Yes,3
2024,Neuroscience,Full-Time Internship,,Remote,3,No Plans,,Yes,2
2023,"Mathematics,Physics",Full-Time Internship,,Remote,4,Research,,No,4
2022,"Classics,History",Full-Time Internship,,Hybrid,4,Part-Time Internship,,No,2
2023,Economics,Full-Time Internship,,Remote,5,Volunteering,,Yes,3
2024,Government,Full-Time Internship,,In-Person,4,No Plans,,Yes,1
2024,Applied Math,Full-Time Internship,,Remote,4,Part-Time Internship,,No,4
2023,Physics,Research,,In-Person,5,Full-Time Internship,,Yes,3
2023,Government,Full-Time Internship,,Remote,5,Full-Time Internship,,No,3
2024,Undecided,Research,,Remote,4,No Plans,,Yes,3
2024,History and Science,Searching/Undecided,,,1,No Plans,,No,5
2022,Social Studies,Full-Time Internship,,Remote,2,Volunteering,,Yes,3
2023,Environmental Science and Engineering,Full-Time Internship,,Remote,5,Part-Time Internship,,Yes,5
2024,Computer Science,Full-Time Internship,,Remote,5,Part-Time Internship,,Yes,4
2022,Psychology,Full-Time Internship,,Hybrid,5,Other,Part Time Job + Classes,Yes,3
2023,Government,Full-Time Internship,,In-Person,3,Full-Time Internship,,Yes,2
2022,Computer Science,Full-Time Internship,,Remote,4,Full-Time Internship,,Yes,4
2024,Psychology,Full-Time Job,,Remote,4,Part-Time Internship,,Yes,3
2024,Neuroscience,Research,,Remote,4,Full-Time Job,,Yes,3
2024,Molecular and Cellular Biology,Research,,Remote,4,No Plans,,Yes,3
2024,"Theater, Dance, and Media",Research,,Hybrid,5,No Plans,,Yes,3
2024,Psychology,Full-Time Internship,,Remote,5,No Plans,,Yes,3
2024,Psychology,Part-Time Job,,In-Person,5,Part-Time Job,,No,5
2023,Physics,Research,,Remote,3,Research,,Yes,2
2024,Computer Science,Full-Time Internship,,Remote,4,Part-Time Job,,Yes,3
2024,"Computer Science,Economics",Volunteering,,Remote,4,Volunteering,,Yes,3
2024,Computer Science,Full-Time Internship,,Remote,5,Part-Time Internship,,Yes,2
2022,Human Evolutionary Biology,Part-Time Internship,,In-Person,4,Full-Time Internship,,Yes,2
2022,Economics,Full-Time Internship,,In-Person,5,Other,Classes,Yes,3
2022,"English,Integrative Biology",Research,,In-Person,5,Volunteering,,Yes,4
2023,Chemical and Physical Biology,Volunteering,,In-Person,3,Part-Time Job,,Yes,4
2024,Statistics,Research,,Hybrid,5,Part-Time Internship,,Yes,4
2021,English,No Plans,,,5,Research,,No,3
2023,Philosophy,Full-Time Job,,In-Person,4,Full-Time Job,,No,4
2022,"East Asian Studies,Government",Full-Time Internship,,Hybrid,4,Full-Time Internship,,Yes,3
2023,Computer Science,Full-Time Internship,,Remote,5,Full-Time Internship,,No,5
2023,"Art, Film, and Visual Studies",Searching/Undecided,,Remote,1,Full-Time Job,,Yes,1
2022,Economics,Full-Time Internship,,Remote,5,Full-Time Internship,,Yes,4
2024,"Chemical and Physical Biology,Statistics",Research,,In-Person,4,No Plans,,Yes,3
2022,Statistics,Full-Time Internship,,In-Person,5,Full-Time Internship,,Yes,3
2023,English,Searching/Undecided,,Remote,3,Other,classes,Yes,2
2022,Computer Science,Searching/Undecided,,,2,Part-Time Internship,,Yes,2
2023,Computer Science,No Plans,,,5,Research,,No,5
2024,Mathematics,Full-Time Internship,,In-Person,3,No Plans,,No,4
2024,Mathematics,Research,,Remote,5,Full-Time Job,,Yes,3
2024,Neuroscience,Other,Summer classes,Remote,5,Full-Time Job,,No,3
2022,Government,Full-Time Internship,,Remote,3,Full-Time Internship,,Yes,3
2023,Social Studies,Full-Time Internship,,Hybrid,5,Part-Time Internship,,Yes,1
2022,Social Studies,Full-Time Internship,,Remote,5,Part-Time Internship,,Yes,3
2024,Physics,Research,,Remote,5,Part-Time Job,,Yes,3
2024,"Sociology,Statistics",Part-Time Internship,,Hybrid,5,No Plans,,Yes,1
2021,Computer Science,Full-Time Job,,In-Person,5,Full-Time Internship,,Yes,3
2024,Government,Full-Time Internship,,,2,Full-Time Job,,No,5
2024,Government,Full-Time Internship,,Remote,3,Full-Time Internship,,Yes,3
2023,Social Studies,Other,summer classes,,3,Part-Time Internship,,Yes,3
2024,Undecided,Part-Time Internship,,Remote,3,Full-Time Internship,,Yes,3
